,dist,num,breed,color,sex,b-year,wei,loc,note,shel,tel,reg-date,due-date
0,경북,경북-경산-2021-00287,"[""포메라니안"",""재패니즈 스피츠"",""사모예드""]",흰색,수컷,2016,7.9,옥곡동,"생후 5년령 추정, 옥곡초등 맞은편 강변에서 배회, 미용되어 있음",경산시유기동물보호소,010-2536-0955,2021-05-23,2021-06-02
1,경북,경북-경산-2021-00286,"[""실키 테리어"",""라사 압소"",""삽살개""]",흰갈색,수컷,2019,6.9,내동,"내동 도로변에서 배회하여 구조, 붉은색 목태와 쇠줄 착용, 입질이 있음",경산시유기동물보호소,010-2536-0955,2021-05-23,2021-06-04
2,경북,경북-경산-2021-00285,"[""스탠다드 푸들"",""비숑 프리제"",""토이 푸들""]",흰색,수컷,2020,7.0,하양한사리,"생후 9개월 추정, 농수로에 빠진상황에 구조, 경계심이 다소 있으며 입질이 있음",경산시유기동물보호소,010-2536-0955,2021-05-22,2021-06-01
3,경북,경북-경산-2021-00284,"[""토이 푸들"",""스탠다드 푸들"",""비숑 프리제""]",갈색,암컷,2017,5.7,사정동,"생후 4년생 추정, 경산역부근에서 배회하여 구조",경산시유기동물보호소,010-2536-0955,2021-05-22,2021-06-01
4,경북,경북-경산-2021-00283,"[""재패니즈 스피츠""]",흰갈색,암컷,2018,6.86,하양은호리,"애견 가방에 담긴채 하우스 주차장안에 유기, 경계가 심함",경산시유기동물보호소,010-2536-0955,2021-05-21,2021-05-31
5,경북,경북-경산-2021-00282,"[""풍산개"",""진돗개""]",흰색,암컷,2020,4.6,진량윤성아파트,"생후 9개월추정, 윤성아파트 뒤 밭에 몇달째 배회, 신고자가 돌봄",경산시유기동물보호소,010-2536-0955,2021-05-21,2021-05-31
6,경북,경북-경산-2021-00281,"[""재패니즈 스피츠"",""비숑프리제""]",크림색,수컷,2021,2.14,진량신상리,"생후 50일령 추정, 도로변에서 배회하여 구조, 사람을 좋아함",경산시유기동물보호소,010-2536-0955,2021-05-21,2021-05-31
7,경남,경남-진주-2021-00234,"[""그레이트 피레니즈"",""골든 리트리버"",""알래스카 말라뮤트""]",흰갈색,수컷,2021,1.9,진주시사봉면부계리,"순함,25일추정",진주시유기동물보호소,055-749-6134,2021-05-25,2021-06-04
8,경남,경남-진주-2021-00233,"[""골든 리트리버""]",흰갈색,수컷,2021,1.3,진주시사봉면부계리,"순함,25일추정",진주시유기동물보호소,055-749-6134,2021-05-25,2021-06-04
9,경남,경남-진주-2021-00232,"[""라사 압소"",""시츄""]",흰갈색,수컷,2021,1.1,진주시사봉면부계리,"순함,25일추정",진주시유기동물보호소,055-749-6134,2021-05-25,2021-06-04
10,경남,경남-진주-2021-00231,"[""포메라니안"",""토이 푸들"",""차우 차우""]",흰갈색,암컷,2021,1.5,진주시사봉면부계리,"순함,25일추정",진주시유기동물보호소,055-749-6134,2021-05-25,2021-06-04
11,경남,경남-진주-2021-00230,"[""풍산개""]",흰색,암컷,2021,3.3,진주시평거동석갑산등산로,"순함,45일추정",진주시유기동물보호소,055-749-6134,2021-05-25,2021-06-03
12,경남,경남-진주-2021-00229,"[""풍산개""]",흰색,수컷,2021,3.6,진주시평거동석갑산등산로,"순함,45일추정",진주시유기동물보호소,055-749-6134,2021-05-24,2021-06-03
13,경남,경남-진주-2021-00228,"[""풍산개""]",흰색,암컷,2021,3.1,진주시평거동석갑산등산로,"순함,45일추정",진주시유기동물보호소,055-749-6134,2021-05-24,2021-06-03
14,경남,경남-진주-2021-00227,"[""진돗개""]",흰갈색,수컷,2020,7.2,진주시금산면중천리,경계심 있음,진주시유기동물보호소,055-749-6134,2021-05-24,2021-05-31
15,경남,경남-진주-2021-00226,"[""보더 콜리""]",검갈색,수컷,2021,5.0,진주시명석면우수리,순함,진주시유기동물보호소,055-749-6134,2021-05-20,2021-05-31
16,경남,경남-진주-2021-00225,"[""시바견""]",흰갈색,수컷,2020,13.2,진주시대곡면가정리,"순함,사람좋아함",진주시유기동물보호소,055-749-6134,2021-05-20,2021-05-27
17,경남,경남-진주-2021-00224,"[""풍산개""]",흰갈색,수컷,2021,2.5,진주시집현면신당리,순함,진주시유기동물보호소,055-749-6134,2021-05-19,2021-05-31
